age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,AvgSalary,y
41,management,married,tertiary,no,5883,no,no,cellular,20,nov,182,2,-1,0,unknown,21000,no
37,management,married,tertiary,no,1315,no,no,cellular,30,jun,224,1,-1,0,unknown,21000,yes
35,blue-collar,single,primary,no,293,yes,no,unknown,30,may,521,2,-1,0,unknown,13000,no
52,management,married,tertiary,no,-970,yes,no,cellular,4,feb,489,1,-1,0,unknown,21000,yes
37,services,single,secondary,no,21,yes,no,cellular,2,feb,96,1,271,2,other,18000,no
36,technician,single,secondary,no,9149,yes,no,cellular,13,aug,141,3,-1,0,unknown,20000,no
40,services,married,secondary,no,0,yes,no,cellular,2,jun,297,1,28,3,failure,18000,no
49,entrepreneur,divorced,unknown,yes,-701,yes,no,cellular,30,jul,988,2,-1,0,unknown,30000,yes
38,entrepreneur,married,secondary,no,593,yes,yes,cellular,24,jul,1484,24,-1,0,unknown,30000,yes
38,unemployed,married,primary,no,1147,yes,yes,unknown,8,may,249,5,-1,0,unknown,0,no
45,management,married,tertiary,no,5450,no,no,cellular,8,aug,188,2,-1,0,unknown,21000,no
39,blue-collar,married,primary,no,7685,yes,no,cellular,14,apr,493,3,-1,0,unknown,13000,no
43,services,married,primary,no,2567,yes,no,cellular,14,may,109,1,360,2,failure,18000,no
32,services,single,secondary,no,182,yes,no,cellular,6,may,145,1,-1,0,unknown,18000,no
48,blue-collar,married,secondary,no,157,yes,no,unknown,6,may,73,1,-1,0,unknown,13000,no
36,self-employed,married,tertiary,no,16,yes,yes,cellular,18,jul,95,4,-1,0,unknown,16000,no
30,technician,single,tertiary,no,6619,yes,no,cellular,21,aug,239,8,-1,0,unknown,20000,no
41,blue-collar,divorced,primary,no,2195,yes,no,unknown,3,jun,211,5,-1,0,unknown,13000,no
56,unknown,married,unknown,no,0,no,no,unknown,20,jun,471,2,-1,0,unknown,0,no
26,technician,single,secondary,no,455,no,no,cellular,29,jan,240,1,182,8,other,20000,no
46,services,married,secondary,no,0,yes,no,cellular,22,jun,154,1,124,1,other,18000,no
50,blue-collar,married,primary,no,3924,yes,no,cellular,20,apr,122,2,-1,0,unknown,13000,no
43,technician,married,secondary,no,-932,yes,no,cellular,16,apr,567,1,-1,0,unknown,20000,no
32,blue-collar,single,secondary,no,-255,no,yes,unknown,2,jul,957,3,-1,0,unknown,13000,no
39,management,divorced,tertiary,no,3575,no,yes,cellular,18,aug,74,3,-1,0,unknown,21000,no
42,management,single,secondary,no,9720,no,no,cellular,5,aug,81,2,-1,0,unknown,21000,no
30,unemployed,married,tertiary,no,0,yes,no,cellular,18,nov,756,1,-1,0,unknown,0,no
26,services,divorced,secondary,no,74,yes,no,unknown,23,may,106,6,-1,0,unknown,18000,no
32,technician,single,tertiary,no,1012,no,no,cellular,14,apr,178,1,-1,0,unknown,20000,no
77,retired,married,secondary,no,610,no,no,cellular,13,aug,766,3,-1,0,unknown,6000,no
50,admin.,married,secondary,no,0,no,no,cellular,4,aug,86,4,-1,0,unknown,16000,no
72,blue-collar,married,primary,no,4415,no,no,telephone,13,oct,120,1,-1,0,unknown,13000,no
22,student,single,unknown,no,549,no,no,cellular,2,sep,154,1,-1,0,unknown,0,no
25,student,single,secondary,no,1116,yes,no,cellular,2,mar,170,3,-1,0,unknown,0,no
39,blue-collar,married,primary,no,1564,no,no,unknown,17,jun,57,1,-1,0,unknown,13000,no
55,services,divorced,primary,no,2923,yes,no,unknown,15,may,104,2,-1,0,unknown,18000,no
42,blue-collar,married,primary,no,1520,yes,no,cellular,5,feb,115,1,-1,0,unknown,13000,no
38,management,married,tertiary,no,0,yes,no,cellular,13,may,537,5,303,2,failure,21000,no
42,blue-collar,married,secondary,no,5639,yes,no,cellular,17,jul,430,2,-1,0,unknown,13000,no
47,blue-collar,married,primary,no,556,yes,no,cellular,4,feb,147,2,264,4,other,13000,no
